Id,Suất ăn,Mã khách hàng,Vị trí
SA_025,Suất thường,FIGLA,BTT_R4
SA_030,Suất thường,SHINE,BTT_L3
SA_044,Suất VP,SHINE,BTT_L4
SA_035,Suất thường,SCAVI,BTT2_L1
SA_036,Suất khách,SCAVI,BTT2_L2
SA_037,Suất khách 50k,SCAVI,BTT2_R1
SA_048,Suất khách 70k,SCAVI,BTT2_R2
SA_027,Suất thường,WATABE,BTT_L1
SA_031,Suất thường,CREATE MEDIC,BTT_L8
SA_041,Suất thường,OM DIGITAL SOLUTIONS,BTC_R3
SA_049,Suất tăng ca,OM DIGITAL SOLUTIONS,BTC_R4
SA_050,Suất ăn sáng,OM DIGITAL SOLUTIONS,BTC_R5
SA_052,Suất buffet,OM DIGITAL SOLUTIONS,BTC_R6
SA_001,Suất thường,SMC MANUFACTURING,BTC_L5
SA_002,Suất khách,SMC MANUFACTURING,BTC_L6
SA_014,Suất thường,ON SEMICONDUCTOR,BTT_L9
SA_015,Suất tăng ca,ON SEMICONDUCTOR,BTT_L10
SA_026,Suất thường,FUKUVI,
SA_032,Suất thường,JFE SHOJI,BTT_R6
SA_016,Suất ST Đ13,SAITEX INTERNATIONAL,BTT_R1
SA_017,Suất ST 4,SAITEX INTERNATIONAL,BTT_R2
SA_018,Suất ST 6,SAITEX INTERNATIONAL,BTT_R3
SA_028,Suất thường,MASPRO,BTT_L7
SA_029,Suất thường,VIKYNO,BTT_L2
SA_020,Suất thường,CAT THAI,BTT_L5
SA_021,Suất kho,CAT THAI,BTT_L6
SA_033,Suất thường 50k,ZAMIL,BTC_L1
SA_045,Suất VP,ZAMIL,BTC_L2
SA_034,Suất thường,BRISKHEAT ,BTT_R7
SA_046,Suất VP,BRISKHEAT ,BTT_R8
SA_047,Suất Đ11,BRISKHEAT ,BTT_R9
SA_042,Suất thường,DONA QUẾ BẰNG,BTT2_L7
SA_053,Suất VP,DONA QUẾ BẰNG,BTT2_L8
SA_008,Suất thường,TOÀN CẦU LIXIL,BTC_R1
SA_009,Suất VP,TOÀN CẦU LIXIL,BTC_R2
SA_011,Suất thường,WACOAL,BTC_L3
SA_013,Suất thường,QUARILLE,BTC_L4
SA_038,Suất thường,FINE HOME SOFA,BTT2_L5
SA_039,Suất QL,FINE HOME SOFA,BTT2_R3
SA_024,Suất thường,SHISEIDO,BTT_R5
SA_054,Suất thường,ARTWELL,BTT2_R4
